sid,link_name_ezpass,borough_ezpass,polyline_ezpass,link_length_ft_ezpass,aggregation_period_sec_ezpass,n_samples_ezpass,median_calculation_timestamp_ezpass,median_tt_sec_ezpass,median_speed_fps_ezpass,link_name_traffic,borough_traffic,polyline_traffic,link_length_ft_traffic,aggregation_period_sec_traffic,n_samples_traffic,median_calculation_timestamp_traffic,median_tt_sec_traffic,median_speed_fps_traffic
49053,42nd Street - Eastbound - 9th Ave to 8th Ave,Manhattan,urwwFhurbMlFyP,899.29,900,23,3/16/2026 16:15:01,58.0,15.5,42nd Street - Eastbound - 9th Ave to 8th Ave,Manhattan,urwwFhurbMlFyP,899.29,900,4,3/15/2026 12:40:12,715.5,1.26
49109,42nd Street - Westbound - 9th Ave to 10th Ave,Manhattan,ctwwFhtrbMkFzP,899.94,900,10,3/16/2026 16:15:01,81.0,11.11,42nd Street - Westbound - 9th Ave to 10th Ave,Manhattan,ctwwFhtrbMkFzP,899.94,0,0,3/15/2026 12:40:12,0.0,0.0
49119,9th Avenue - Southbound - 42nd St to 37th St,Manhattan,cswwF~trbMnRbM,1298.3,900,76,3/16/2026 16:15:01,100.5,12.92,9th Avenue - Southbound - 42nd St to 37th St,Manhattan,cswwF~trbMnRbM,1298.3,900,45,3/15/2026 12:40:12,217.0,5.98
50057,8th Avenue - Northbound - 23rd St to 34th St,Manhattan,aauwFpysbMcj@m^,2875.57,900,2,3/16/2026 16:15:01,232.0,12.39,8th Avenue - Northbound - 23rd St to 34th St,Manhattan,aauwFpysbMcj@m^,2875.57,900,4,3/15/2026 12:40:12,341.5,8.42
50106,23rd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,m`uwF`zsbMhFwP,893.5,900,42,3/16/2026 16:15:01,64.5,13.85,23rd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,m`uwF`zsbMhFwP,893.5,900,57,3/15/2026 12:40:12,44.0,20.31
51043,72nd Street - Eastbound - Broadway to Columbus Ave (9th Ave),Manhattan,{q{wF~rpbM^qAnFsP,1021.03,900,2,3/16/2026 16:15:01,98.0,10.42,72nd Street - Eastbound - Broadway to Columbus Ave (9th Ave),Manhattan,{q{wF~rpbM^qAnFsP,1021.03,900,2,3/15/2026 12:40:12,294.0,3.47
51052,Broadway - Southbound - 72nd St to 57th St,Manhattan,mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@,4661.61,900,3,3/16/2026 16:15:01,437.0,10.67,Broadway - Southbound - 72nd St to 57th St,Manhattan,mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@,4661.61,900,5,3/15/2026 12:40:12,611.0,7.63
52054,57th Street - Westbound - Broadway to 8th Ave,Manhattan,_eywFtqpbMoA|D,300.32,900,6,3/16/2026 16:15:01,394.5,0.76,57th Street - Westbound - Broadway to 8th Ave,Manhattan,_eywFtqpbMoA|D,300.32,900,4,3/15/2026 12:40:12,407.5,0.74
53038,8th Avenue - Northbound - 42nd St to 49th St,Manhattan,ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA,1846.29,900,33,3/16/2026 16:15:01,141.0,13.09,8th Avenue - Northbound - 42nd St to 49th St,Manhattan,ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA,1846.29,900,2,3/15/2026 12:40:12,329.0,5.61
53049,42nd Street - Westbound - 8th Ave to 9th Ave,Manhattan,alwwFtbrbMqFzP,905.24,900,19,3/16/2026 16:15:01,150.0,6.03,42nd Street - Westbound - 8th Ave to 9th Ave,Manhattan,alwwFtbrbMqFzP,905.24,900,5,3/15/2026 12:40:12,594.0,1.52
