"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"105045","23rd Street - Eastbound - 2nd Ave to 1st Ave","Manhattan","erswFblpbMfEyM","749.85","900","5","3/16/2026 16:15:01","641","1.17"
"106107","7th Avenue - Southbound - 23rd St to 14th St","Manhattan","oytwF|gsbMta@bX","2309.57","900","17","3/16/2026 16:15:01","173","13.35"
"108078","34th Street - Eastbound - 11th Ave to 10th Ave","Manhattan","{awwFzotbMfFwP","891.65","900","2","3/16/2026 16:15:01","50","17.83"
"109049","42nd Street - Eastbound - 10th Ave to 9th Ave","Manhattan","{ywwFjgsbMhF}P","900.64","900","4","3/16/2026 16:15:01","31","29.05"
"109080","42nd Street - Westbound - 10th Ave to 11th Ave","Manhattan","q{wwFffsbMoFpP","891.38","900","12","3/16/2026 16:15:01","36.5","24.42"
"109085","10th Avenue - Northbound - 42nd St to 49th St","Manhattan","uzwwFxfsbMsZgS","1844.34","900","38","3/16/2026 16:15:01","120.5","15.31"
"111112","Ocean Pkwy - Northbound - Ditmas Ave to Church Ave","Brooklyn","ew_wFhunbMsv@xI","3281.96","900","2","3/16/2026 16:15:01","1066","3.08"
"111113","Ocean Pkwy - Southbound - Ditmas Ave to Avenue I","Brooklyn","ov_wFj{nbMvz@wJ","3526.24","900","202","3/16/2026 16:15:01","277","12.73"
"112111","Ocean Pkwy - Southbound - Church Ave to Ditmas Ave","Brooklyn","qlawFteobM`u@sI","3190.53","900","234","3/16/2026 16:15:01","233","13.69"
"113093","Ocean Pkwy - Southbound - Avenue I to Kings Hwy","Brooklyn","yz}vF|onbMdbCyW","7735.94","900","108","3/16/2026 16:15:01","335.5","23.06"
"113111","Ocean Pkwy - Northbound - Avenue I to Ditmas Ave","Brooklyn","c{}vF|inbMa{@nJ","3542.67","900","118","3/16/2026 16:15:01","224.5","15.78"
"116080","11th Avenue - Southbound - 49th St to 42nd St","Manhattan","y}xwFldsbMpZ`S","1837.13","900","6","3/16/2026 16:15:01","123.5","14.88"
"118023","34th Street - Westbound - 5th Ave to 6th Ave","Manhattan","auuwFdbqbMqG|R","1013.44","900","11","3/16/2026 16:15:01","106","9.56"
"119061","9th Avenue - Southbound - 37th St to 34th St","Manhattan","s_wwFdcsbM|JvG","797","900","2","3/16/2026 16:15:01","27","29.52"
"120140","Flatbush Ave - Southbound - Aviators Sports Complex to Beach 140 st","Brooklyn","}vvvFtx`bMdhAwpApc@_Tv\mRnBqHiq@ehBgEgFgG_M","17122.83","900","50","3/16/2026 16:15:01","308","55.59"
"121127","Hylan Blvd - Southbound - Richmond Ave to Arden Ave","Staten Island","ozkvFvercMrLvKzBrBn@~@`CrHzBtGpBzG","2758.7","900","23","3/16/2026 16:15:01","64","43.1"
"121145","Hylan Blvd - Northbound - Richmond Ave to Keegans Ln","Staten Island","uykvFtdrcMqTwWyHaHuRmOyD{EuDiCiF}GaRgXyEaG","7266.26","900","18","3/16/2026 16:15:01","271","26.81"
"121146","Richmond Ave - Northbound - Hylan Blvd to Amboy Rd","Staten Island","ozkvF`ercMqI`RaAvB_k@fh@","4405.32","900","5","3/16/2026 16:15:01","174","25.32"
"125127","Hylan Blvd - Northbound - Huguenot Ave to Arden Ave","Staten Island","syivFpmxcMgO}k@YiBOgCv@wt@UwDo@iDsNqd@","7349.52","900","22","3/16/2026 16:15:01","277.5","26.48"
"127121","Hylan Blvd - Northbound - Arden Ave to Richmond Ave","Staten Island","i{jvFxrscMoFuP_CiHoAcBwOwN","2776.11","900","34","3/16/2026 16:15:01","140.5","19.76"
"127125","Hylan Blvd - Southbound - Arden Ave to Huguenot Ave","Staten Island","}{jvFnsscMfFfPhG`SZpAR|AF`ADzBY`[]~TJtCL~AfAvFv@nCzK~b@","7338.97","900","70","3/16/2026 16:15:01","158","46.45"
"128068","Hylan Blvd - Northbound - West Fingerboard Rd to Narrows Rd South (via Fingerboard Rd)","Staten Island","gnxvFpebcM_A[}AIaANKHsGrAcAiDo@qBOaAFcACSQw@Ua@_GiB","2262.17","900","7","3/16/2026 16:15:01","50","45.24"
"133134","Flatbush Ave - Southbound - Kings Hwy to Fillmore Ave","Brooklyn","i`}vFfwgbMbFoFhIsJr]aa@","3664.03","900","3","3/16/2026 16:15:01","204","17.96"
"134133","Flatbush Ave - Northbound - Fillmore Ave to Kings Hwy","Brooklyn","}p{vF|`fbM_BjBeF|Fu]da@{EfF","3637.56","900","42","3/16/2026 16:15:01","283","12.85"
"139146","Richmond Ave - Southbound - Wainwright Ave to Amboy Rd","Queens","m|pvFphucMbn@qItP_C`H_A|AWf@YlB{B`J}AbFuApEcF","6482.4","900","59","3/16/2026 16:15:01","324","20.01"
"140120","Beach Channel Dr - Westbound - Beach 140 St to Aviators Sports Complex","Queens","sitvFzvxaMbIdRjB|A~FpOh]p|@|JxXiC|GqcAti@ma@df@wa@ne@","16938.92","900","70","3/16/2026 16:15:01","241","70.29"
"140144","Beach Channel Dr - Eastbound - Beach 140 St to Beach 116 St","Queens","whtvFlvxaM}Rwd@mAuCw@cD_AuJOyQnAcM{@_i@","6413.01","900","77","3/16/2026 16:15:01","155","41.37"
"144140","Beach Channel Dr - Westbound - Beach 116 St to Beach 140 St","Queens","_duvFxptaMbAnh@oAhMRhRx@rI|@`EpUti@","6431.79","900","91","3/16/2026 16:15:01","162","39.7"
"145121","Hylan Blvd - Southbound - Keegans Ln to Richmond Ave","Staten Island","mznvFf~ncM|@lAfDpDzBhDvMzRxH|IfB|@zD`FlZfVrVlZ","7276.22","900","12","3/16/2026 16:15:01","196.5","37.03"
"146121","Richmond Ave - Southbound - Amboy Rd to Hylan Blvd","Staten Island","crmvFxetcM~IoIzYeXhBeBdByB|JmT","4389.04","900","25","3/16/2026 16:15:01","130","33.76"
"146139","Richmond Ave - Northbound - Amboy Rd to Wainwright Ave","Staten Island","csmvFbetcM{CpDcAp@}D`AaJ|A_@L{AtBs@b@oALwf@xG_a@lF","6450.81","900","34","3/16/2026 16:15:01","204.5","31.54"
"147150","Rockaway Blvd - Southbound - South Conduit Ave to Farmers Blvd","Queens","}uewFhdiaMbNeLdNyK`DkA|CDv@kDhAyC","3224.15","900","2","3/16/2026 16:15:01","503","6.41"
"148150","Rockaway Blvd - Northbound - Brookville Blvd to Farmers Blvd","Queens","qs`wFn~aaMoMtMiKnKyBjDqj@nkAuUjg@}P|`@yBjE","10952.42","900","30","3/16/2026 16:15:01","279","39.26"
"150148","Rockaway Blvd - Southbound - Farmers Blvd to Brookville Blvd ","Queens","qidwF|}gaMbCyEzBsFbWqk@lV{g@da@e{@|LyMtNoN","11004.77","900","3","3/16/2026 16:15:01","475","23.17"
"154182","Beach Channel Dr - Eastbound - Bay 32 st to Mott Ave","Queens","wlxvFflfaMyKyYgBeC_A_EaDcGqH_QoFiBg@Y","3942.33","900","5","3/16/2026 16:15:01","201","19.61"
